TEAM,COLLEGE,NAME
Oklahoma City Thunder,Pittsburgh,Steven Adams
Brooklyn Nets,Texas,Jarrett Allen
Phoenix Suns,Arizona,Deandre Ayton
Orlando Magic,Texas,Mo Bamba
Phoenix Suns,Washington State,Aron Baynes
Indiana Pacers,,Goga Bitadze
Charlotte Hornets,,Bismack Biyombo
Denver Nuggets,Oregon,Bol Bol
Utah Jazz,North Carolina,Tony Bradley
Portland Trail Blazers,UCLA,Moses Brown
Washington Wizards,Indiana,Thomas Bryant
Los Angeles Lakers,North Carolina-Wilmington,Devontae Cacok
Atlanta Hawks,,Clint Capela
Chicago Bulls,Duke, Wendell Carter Jr.
Dallas Mavericks,Kentucky,Willie Cauley-Stein
Houston Rockets,,Tyson Chandler
Golden State Warriors,Washington,Marquese Chriss
Utah Jazz,North Carolina,Ed Davis
Atlanta Hawks,USC,Dewayne Dedmon
Memphis Grizzlies,Louisville,Gorgui Dieng
Cleveland Cavaliers,Connecticut,Andre Drummond
Philadelphia 76ers,Kansas,Joel Embiid
Boston Celtics,UCF,Tacko Fall
New Orleans Pelicans,Georgia Tech,Derrick Favors
Atlanta Hawks,Maryland,Bruno Fernando
Toronto Raptors,,Marc Gasol
New York Knicks,USC,Taj Gibson
Sacramento Kings,Duke,Harry Giles III 
Utah Jazz,,Rudy Gobert
New Orleans Pelicans,Texas,Jaxson Hayes
Toronto Raptors,Miami (FL),Dewan Hernandez
Charlotte Hornets,,Willy Hernangomez
Sacramento Kings,Bowling Green,Richaun Holmes
Los Angeles Lakers,,Dwight Howard
Toronto Raptors,,Serge Ibaka
Denver Nuggets,,Nikola Jokic
Atlanta Hawks,Vanderbilt,Damian Jones
Brooklyn Nets,Texas A&M,DeAndre Jordan
Phoenix Suns,Wisconsin,Frank Kaminsky
Boston Celtics,Kentucky,Enes Kanter
Chicago Bulls,Vanderbilt,Luke Kornet
Sacramento Kings,Maryland,Alex Len
Miami Heat,Illinois,Meyers Leonard
Milwaukee Bucks,Stanford,Brook Lopez
Milwaukee Bucks,Stanford,Robin Lopez
San Antonio Spurs,Kentucky,Trey Lyles
Washington Wizards,,Ian Mahinmi
Detroit Pistons,,Thon Maker
Dallas Mavericks,,Boban Marjanovic
Los Angeles Lakers,Nevada,JaVale McGee
LA Clippers,Florida,Joakim Noah
Oklahoma City Thunder,Kentucky,Nerlens Noel
Portland Trail Blazers,,Jusuf Nurkic
Philadelphia 76ers,Norfolk State,Kyle O'Quinn
New Orleans Pelicans,Duke,Jahlil Okafor
Washington Wizards,,Anzejs Pasecniks
Detroit Pistons,Creighton,Justin Patton
San Antonio Spurs,Utah,Jakob Poeltl
Boston Celtics,,Vincent Poirier
Dallas Mavericks,Stanford,Dwight Powell
Minnesota Timberwolves,LSU,Naz Reid
New York Knicks,Western Kentucky,Mitchell Robinson
Boston Celtics,,Daniel Theis
Cleveland Cavaliers,Texas,Tristan Thompson
Minnesota Timberwolves,Kentucky,Karl-Anthony Towns
Indiana Pacers,Texas,Myles Turner
Memphis Grizzlies,,Jonas Valanciunas
Orlando Magic,USC,Nikola Vucevic
Portland Trail Blazers,Marshall,Hassan Whiteside
Boston Celtics,Texas A&M, Robert Williams III
Charlotte Hornets,Indiana,Cody Zeller
San Antonio Spurs,North Carolina,Tyler Zeller
Cleveland Cavaliers,,Ante Zizic
LA Clippers,,Ivica Zubac
Miami Heat,Kentucky,Bam Adebayo
San Antonio Spurs,Texas,LaMarcus Aldridge
Miami Heat,Tennessee,Kyle Alexander
Orlando Magic,Wake Forest,Al-Farouq Aminu
Milwaukee Bucks,,Giannis Antetokounmpo
Los Angeles Lakers,Dayton,Kostas Antetokounmpo
Portland Trail Blazers,Syracuse,Carmelo Anthony
Sacramento Kings,Duke, Marvin Bagley III
Cleveland Cavaliers,Oregon,Jordan Bell
Orlando Magic,UNLV,Khem Birch
Sacramento Kings,,Nemanja Bjelica
Toronto Raptors,Oregon,Chris Boucher
Utah Jazz,Charleston,Jarrell Brantley
Orlando Magic,Cincinnati,Gary Clark
Brooklyn Nets,Georgia,Nicolas Claxton
Atlanta Hawks,Wake Forest,John Collins
Portland Trail Blazers,Gonzaga,Zach Collins
Denver Nuggets,Iowa,Tyler Cook
Houston Rockets,Tennessee State,Robert Covington
Los Angeles Lakers,Kentucky,Anthony Davis
Phoenix Suns,Kansas,Cheick Diallo
San Antonio Spurs,Oregon State,Drew Eubanks
Chicago Bulls,,Cristiano Felicio
Portland Trail Blazers,Kentucky,Wenyen Gabriel
Chicago Bulls,Arkansas,Daniel Gafford
Oklahoma City Thunder,,Danilo Gallinari
Orlando Magic,Arizona,Aaron Gordon
Denver Nuggets,Syracuse,Jerami Grant
Golden State Warriors,Michigan State,Draymond Green
LA Clippers,Alabama,JaMychal Green
Houston Rockets,Georgetown,Jeff Green
Detroit Pistons,Oklahoma,Blake Griffin
Washington Wizards,Gonzaga,Rui Hachimura
Brooklyn Nets,Alabama,Donta Hall
LA Clippers,Louisville,Montrezl Harrell
Miami Heat,Florida,Udonis Haslem
Detroit Pistons,North Carolina,John Henson
Minnesota Timberwolves,,Juan Hernangomez
Oklahoma City Thunder,Texas-Arlington,Kevin Hervey
Philadelphia 76ers,Florida,Al Horford
Milwaukee Bucks,,Ersan Ilyasova
Orlando Magic,Florida State,Jonathan Isaac
Memphis Grizzlies,Michigan State, Jaren Jackson Jr.
Indiana Pacers,Missouri State,Alize Johnson
Minnesota Timberwolves,Wake Forest,James Johnson
LA Clippers,Florida State,Mfiondu Kabengele
Dallas Mavericks,,Maxi Kleber
Los Angeles Lakers,Utah,Kyle Kuzma
Atlanta Hawks,Kentucky,Skal Labissiere
Orlando Magic,Northwestern,Vic Law
Indiana Pacers,UCLA,T.J. Leaf
Golden State Warriors,UCLA,Kevon Looney
Cleveland Cavaliers,UCLA,Kevin Love
Chicago Bulls,Arizona,Lauri Markkanen
Houston Rockets,UCLA,a Moute Luc Mbah
Charlotte Hornets,San Diego State,Jalen McDaniels
New Orleans Pelicans,,Nicolo Melli
San Antonio Spurs,USC,Chimezie Metu
Denver Nuggets,Louisiana Tech,Paul Millsap
Los Angeles Lakers,Kansas,Markieff Morris
LA Clippers,Baylor,Johnathan Motley
Oklahoma City Thunder,Bucknell,Mike Muscala
Cleveland Cavaliers,Wyoming, Larry Nance Jr.
Boston Celtics,SMU,Semi Ojeleye
Miami Heat,Gonzaga,Kelly Olynyk
Phoenix Suns,Texas Tech,Tariq Owens
Sacramento Kings,Duke,Jabari Parker
Golden State Warriors,Villanova,Eric Paschall
LA Clippers,Kentucky,Patrick Patterson
Denver Nuggets,Duke,Mason Plumlee
Memphis Grizzlies,Missouri,Jontay Porter
Denver Nuggets,Missouri,Michael Porter Jr. 
New York Knicks,Arkansas,Bobby Portis
Dallas Mavericks,,Kristaps Porzingis
Brooklyn Nets,Baylor,Taurean Prince
New York Knicks,Kentucky,Julius Randle
Indiana Pacers,Gonzaga,Domantas Sabonis
San Antonio Spurs,,Luka Samanic
Phoenix Suns,,Dario Saric
Philadelphia 76ers,Virginia,Mike Scott
Toronto Raptors,New Mexico State,Pascal Siakam
Miami Heat,South Carolina,Chris Silva
Golden State Warriors,,Alen Smailagic
Charlotte Hornets,Louisville,Ray Spalding
Minnesota Timberwolves,Villanova,Omari Spellman
Portland Trail Blazers,Purdue,Caleb Swanigan
Boston Celtics,Duke,Jayson Tatum
Memphis Grizzlies,Creighton,Anthony Tolliver
Houston Rockets,Texas,P.J. Tucker
Minnesota Timberwolves,Kentucky,Jarred Vanderbilt
Denver Nuggets,Indiana,Noah Vonleh
Cleveland Cavaliers,Kansas State,Dean Wade
Charlotte Hornets,Kentucky,PJ Washington
Boston Celtics,Tennessee,Grant Williams
Washington Wizards,Gonzaga,Johnathan Williams
Milwaukee Bucks,North Carolina,Marvin Williams
Milwaukee Bucks,Michigan,D.J. Wilson
Detroit Pistons,UNLV,Christian Wood
New York Knicks,Oregon,Kenny Wooten
Chicago Bulls,Georgia Tech,Thaddeus Young
Miami Heat,Tennessee,Kyle Alexander
Memphis Grizzlies,UCLA,Kyle Anderson
Milwaukee Bucks,,Thanasis Antetokounmpo
Toronto Raptors,Indiana,OG Anunoby
Portland Trail Blazers,UCLA,Trevor Ariza
Sacramento Kings,North Carolina,Harrison Barnes
Denver Nuggets,Memphis,Will Barton
Denver Nuggets,Ohio State,Keita Bates-Diop
Oklahoma City Thunder,,Darius Bazley
Washington Wizards,,Davis Bertans
Utah Jazz,,Bojan Bogdanovic
Washington Wizards,,Isaac Bonga
New York Knicks,Michigan,Ignas Brazdeikis
Phoenix Suns,Villanova,Mikal Bridges
Charlotte Hornets,Michigan State,Miles Bridges
Toronto Raptors,Syracuse,Oshae Brissett
Washington Wizards,Oregon, Troy Brown Jr.
New York Knicks,North Carolina,Reggie Bullock
Miami Heat,Marquette,Jimmy Butler
Houston Rockets,,Bruno Caboclo
Denver Nuggets,,Vlatko Cancar
Houston Rockets,Missouri,DeMarre Carroll
Brooklyn Nets,DePaul,Wilson Chandler
New Orleans Pelicans,Arizona State,Zylan Cheatham
Memphis Grizzlies,Gonzaga,Brandon Clarke
Denver Nuggets,USC Upstate,Torrey Craig
Miami Heat,Marquette,Jae Crowder
San Antonio Spurs,USC,DeMar DeRozan
Detroit Pistons,,Sekou Doumbouya
Los Angeles Lakers,Boston College,Jared Dudley
Brooklyn Nets,Texas,Kevin Durant
Orlando Magic,Long Beach State, James Ennis III
Oklahoma City Thunder,,Terrance Ferguson
Dallas Mavericks,Florida,Dorian Finney-Smith
San Antonio Spurs,Connecticut,Rudy Gay
New York Knicks,St. John's,Maurice Harkless
Brooklyn Nets,Virginia,Joe Harris
Philadelphia 76ers,Tennessee,Tobias Harris
New Orleans Pelicans,Villanova,Josh Hart
Boston Celtics,Butler,Gordon Hayward
Portland Trail Blazers,,Mario Hezonja
Miami Heat,Arizona,Solomon Hill
Portland Trail Blazers,Wake Forest,Jaylen Hoard
Indiana Pacers,Washington,Justin Holiday
Toronto Raptors,Arizona,Rondae Hollis-Jefferson
Portland Trail Blazers,Duke,Rodney Hood
Houston Rockets,Texas A&M, Danuel House Jr.
Atlanta Hawks,Virginia,De'Andre Hunter
Chicago Bulls,Boise State,Chandler Hutchison
New Orleans Pelicans,Duke,Brandon Ingram
Orlando Magic,Kansas State,Wes Iwundu
Dallas Mavericks,North Carolina,Justin Jackson
Los Angeles Lakers,,LeBron James
Orlando Magic,La Salle,BJ Johnson
Phoenix Suns,North Carolina,Cameron Johnson
San Antonio Spurs,Kentucky,Keldon Johnson
Toronto Raptors,Arizona,Stanley Johnson
Miami Heat,UNLV, Derrick Jones Jr.
Dallas Mavericks,Kentucky,Michael Kidd-Gilchrist
Detroit Pistons,Oregon,Louis King
New York Knicks,Kentucky, Kevin Knox II
Brooklyn Nets,,Rodions Kurucs
Orlando Magic,Northwestern,Vic Law
Minnesota Timberwolves,Maryland,Jake Layman
LA Clippers,San Diego State,Kawhi Leonard
Portland Trail Blazers,North Carolina,Nassir Little
Charlotte Hornets,Nevada,Caleb Martin
Charlotte Hornets,Nevada,Cody Martin
Minnesota Timberwolves,Butler,Kelan Martin
Toronto Raptors,UNLV,Patrick McCaw
Indiana Pacers,Creighton,Doug McDermott
Cleveland Cavaliers,Green Bay,Alfonzo McKinnie
Houston Rockets,Kansas,Ben McLemore
Milwaukee Bucks,Texas A&M,Khris Middleton
New Orleans Pelicans,Kentucky,Darius Miller
Utah Jazz,Indiana,Juwan Morgan
LA Clippers,Kansas,Sr. Marcus Morris
Oklahoma City Thunder,Iowa State,Abdel Nader
Utah Jazz,Iowa State,Georges Niang
Utah Jazz,Baylor,Royce O'Neale
Phoenix Suns,,Elie Okobo
Minnesota Timberwolves,Georgia Tech,Josh Okogie
Miami Heat,Stanford,KZ Okpala
Cleveland Cavaliers,,Cedi Osman
Phoenix Suns,Kansas, Kelly Oubre Jr.
Phoenix Suns,Texas Tech,Tariq Owens
Philadelphia 76ers,,Norvel Pelle
Chicago Bulls,Georgetown, Otto Porter Jr.
Philadelphia 76ers,Michigan,Glenn Robinson III 
Oklahoma City Thunder,Nebraska,Isaiah Roby
Indiana Pacers,St. John's,JaKarr Sampson
Houston Rockets,,Thabo Sefolosha
Detroit Pistons,New Mexico,Tony Snell
Brooklyn Nets,Duke,Lance Thomas
Golden State Warriors,Marquette,Juan Toscano-Anderson
Washington Wizards,Iowa,Jarrod Uthoff
Washington Wizards,Michigan,Moritz Wagner
Indiana Pacers,North Carolina State,T.J. Warren
Toronto Raptors,Fresno State,Paul Watson
Golden State Warriors,Kansas,Andrew Wiggins
New Orleans Pelicans,TCU,Kenrich Williams
New Orleans Pelicans,Duke,Zion Williamson
Memphis Grizzlies,Duke,Justise Winslow
New Orleans Pelicans,Virginia Tech,Nickeil Alexander-Walker
Memphis Grizzlies,Duke,Grayson Allen
Brooklyn Nets,Virginia,Justin Anderson
Charlotte Hornets,Florida State,Dwayne Bacon
New York Knicks,Duke,RJ Barrett
Charlotte Hornets,,Nicolas Batum
Sacramento Kings,Old Dominion,Kent Bazemore
Washington Wizards,Florida,Bradley Beal
Minnesota Timberwolves,Florida State,Malik Beasley
San Antonio Spurs,,Marco Belinelli
Atlanta Hawks,Saint Joseph's,DeAndre' Bembry
Sacramento Kings,,Bogdan Bogdanovic
Phoenix Suns,Kentucky,Devin Booker
Indiana Pacers,,Brian Bowen II 
Sacramento Kings,Florida,Corey Brewer
Philadelphia 76ers,Valparaiso,Ryan Broekhoff
Memphis Grizzlies,Oregon,Dillon Brooks
Detroit Pistons,Miami (FL),Bruce Brown
Boston Celtics,California,Jaylen Brown
Milwaukee Bucks,SMU,Sterling Brown
Atlanta Hawks,Saint Joseph's, Charlie Brown Jr.
Philadelphia 76ers,Colorado,Alec Burks
Oklahoma City Thunder,Iowa State,Deonte Burton
Los Angeles Lakers,Georgia,Kentavious Caldwell-Pope
Los Angeles Lakers,Texas A&M,Alex Caruso
Dallas Mavericks,Southeast Missouri State,Antonius Cleveland
LA Clippers,Minnesota,Amir Coffey
Milwaukee Bucks,Notre Dame,Pat Connaughton
Brooklyn Nets,Michigan,Jamal Crawford
Minnesota Timberwolves,Texas Tech,Jarrett Culver
Dallas Mavericks,Duke,Seth Curry
Denver Nuggets,Virginia Commonwealth,Troy Daniels
Toronto Raptors,Ole Miss,Terence Davis
Oklahoma City Thunder,Kentucky,Hamidou Diallo
Milwaukee Bucks,Villanova,Donte DiVincenzo
Dallas Mavericks,,Luka Doncic
Oklahoma City Thunder,Arizona State,Luguentz Dort
New York Knicks,Houston,Damyean Dotson
New York Knicks,North Carolina,Wayne Ellington
Minnesota Timberwolves,Cincinnati,Jacob Evans
San Antonio Spurs,Michigan State,Bryn Forbes
Orlando Magic,,Evan Fournier
Houston Rockets,Florida,Michael Frazier
Orlando Magic,Tulane, Melvin Frazier Jr.
Detroit Pistons,Saint Joseph's,Langston Galloway
LA Clippers,Fresno State,Paul George
Oklahoma City Thunder,Kentucky,Shai Gilgeous-Alexander
Houston Rockets,Indiana,Eric Gordon
Atlanta Hawks,Virginia Commonwealth,Treveon Graham
Los Angeles Lakers,North Carolina,Danny Green
Boston Celtics,Radford,Javonte Green
Memphis Grizzlies,,Marko Guduric
Sacramento Kings,Virginia,Kyle Guy
Oklahoma City Thunder,Virginia,Devon Hall
Dallas Mavericks,Michigan, Tim Hardaway Jr.
Houston Rockets,Arizona State,James Harden
Denver Nuggets,Michigan State,Gary Harris
Miami Heat,Kentucky,Tyler Herro
Sacramento Kings,Oklahoma,Buddy Hield
New Orleans Pelicans,UCLA,Jrue Holiday
Los Angeles Lakers,Iowa State,Talen Horton-Tucker
Houston Rockets,,William Howard
Atlanta Hawks,Maryland,Kevin Huerter
Miami Heat,Arizona,Andre Iguodala
Utah Jazz,,Joe Ingles
Memphis Grizzlies,Kansas,Josh Jackson
Sacramento Kings,Wyoming,Justin James
Sacramento Kings,Tulsa,DaQuan Jeffries
Phoenix Suns,Virginia,Ty Jerome
Brooklyn Nets,Fresno State,Tyler Johnson
Detroit Pistons,Duke,Luke Kennard
Memphis Grizzlies,,John Konchar
Philadelphia 76ers,,Furkan Korkmaz
Milwaukee Bucks,Creighton,Kyle Korver
Indiana Pacers,Connecticut,Jeremy Lamb
Boston Celtics,Indiana,Romeo Langford
Dallas Mavericks,Western Kentucky,Courtney Lee
Golden State Warriors,Louisville,Damion Lee
Brooklyn Nets,Michigan,Caris LeVert
Brooklyn Nets,,Timothe Luwawu-Cabarrot
LA Clippers,Florida State,Terance Mann
Washington Wizards,Lipscomb,Garrison Mathews
Milwaukee Bucks,Marquette,Wesley Matthews
Portland Trail Blazers,Lehigh,CJ McCollum
LA Clippers,Kansas State,Rodney McGruder
Detroit Pistons,Tennessee,Jordan McRae
Memphis Grizzlies,USC,De'Anthony Melton
Toronto Raptors,Holy Cross,Malcolm Miller
Philadelphia 76ers,SMU,Shake Milton
Utah Jazz,Louisville,Donovan Mitchell
Indiana Pacers,Iowa State,Naz Mitrou-Long
Chicago Bulls,,Adam Mokoka
Charlotte Hornets,Kentucky,Malik Monk
Cleveland Cavaliers,Texas Tech,Matt Mooney
New Orleans Pelicans,Purdue,E'Twaun Moore
Golden State Warriors,Kentucky,Mychal Mulder
Brooklyn Nets,,Dzanan Musa
Detroit Pistons,Kansas,Sviatoslav Mykhailiuk
Minnesota Timberwolves,Washington,Jaylen Nowell
Miami Heat,Oakland,Kendrick Nunn
Houston Rockets,Cal Poly,David Nwaba
Indiana Pacers,Indiana,Victor Oladipo
Utah Jazz,Yale,Miye Oni
New York Knicks,North Carolina,Theo Pinson
Golden State Warriors,Michigan,Jordan Poole
Cleveland Cavaliers,USC, Kevin Porter Jr.
Toronto Raptors,UCLA,Norman Powell
Dallas Mavericks,Penn State,Josh Reaves
Atlanta Hawks,Duke,Cam Reddish
New Orleans Pelicans,Duke,JJ Redick
Milwaukee Bucks,Tulane,Cameron Reynolds
Philadelphia 76ers,Tennessee,Josh Richardson
Oklahoma City Thunder,Colorado,Andre Roberson
Miami Heat,Michigan,Duncan Robinson
Washington Wizards,Boston College,Jerome Robinson
Orlando Magic,Washington,Terrence Ross
Minnesota Timberwolves,Ohio State,D'Angelo Russell
Chicago Bulls,,Tomas Satoransky
Washington Wizards,Tennessee,Admiral Schofield
LA Clippers,Wichita State,Landry Shamet
Philadelphia 76ers,Iowa State,Marial Shayok
Portland Trail Blazers,,Anfernee Simons
Los Angeles Lakers,,JR Smith
Philadelphia 76ers,Texas Tech,Zhaire Smith
Chicago Bulls,DePaul,Max Strus
Brooklyn Nets,LSU,Garrett Temple
Detroit Pistons,Creighton,Khyri Thomas
Toronto Raptors,Iowa State,Matt Thomas
Golden State Warriors,Washington State,Klay Thompson
New Orleans Pelicans,South Carolina,Sindarius Thornwell
Philadelphia 76ers,Washington,Matisse Thybulle
Portland Trail Blazers,Duke, Gary Trent Jr.
Utah Jazz,Arkansas-Little Rock,Rayjon Tucker
Minnesota Timberwolves,Ohio State,Evan Turner
Chicago Bulls,Michigan State,Denzel Valentine
Toronto Raptors,Wichita State,Fred VanVleet
Los Angeles Lakers,Syracuse,Dion Waiters
San Antonio Spurs,Miami (FL),IV Lonnie Walker
Memphis Grizzlies,George Washington,Yuta Watanabe
San Antonio Spurs,Mississippi State,Quinndary Weatherspoon
LA Clippers,,Lou Williams
Cleveland Cavaliers,Belmont,Dylan Windler
Portland Trail Blazers,St. Bonaventure,Jaylen Adams
Chicago Bulls,Villanova,Ryan Arcidiacono
Orlando Magic,Texas,D.J. Augustin
New Orleans Pelicans,UCLA,Lonzo Ball
Dallas Mavericks,Northeastern,J.J. Barea
LA Clippers,Arkansas,Patrick Beverley
Milwaukee Bucks,Kentucky,Eric Bledsoe
Detroit Pistons,Tennessee,Jordan Bone
Golden State Warriors,Boston College,Ky Bowman
Los Angeles Lakers,Texas,Avery Bradley
Indiana Pacers,Virginia,Malcolm Brogdon
Dallas Mavericks,Villanova,Jalen Brunson
Dallas Mavericks,Michigan,Trey Burke
Phoenix Suns,West Virginia,Jevon Carter
Orlando Magic,Syracuse,Michael Carter-Williams
Brooklyn Nets,Florida,Chris Chiozza
Utah Jazz,Missouri,Jordan Clarkson
Houston Rockets,Campbell,Chris Clemons
Utah Jazz,Ohio State,Mike Conley
Los Angeles Lakers,Duke,Quinn Cook
Golden State Warriors,Davidson,Stephen Curry
Cleveland Cavaliers,Saint Mary's,Matthew Dellavedova
Brooklyn Nets,Colorado,Spencer Dinwiddie
Denver Nuggets,South Carolina,PJ Dozier
Miami Heat,,Goran Dragic
Chicago Bulls,Providence,Kris Dunn
Boston Celtics,Purdue,Carsen Edwards
Cleveland Cavaliers,,Dante Exum
Sacramento Kings,Indiana,Yogi Ferrell
Sacramento Kings,Kentucky,De'Aaron Fox
Orlando Magic,Washington,Markelle Fultz
Cleveland Cavaliers,Vanderbilt,Darius Garland
Atlanta Hawks,Florida Gulf Coast,Brandon Goodwin
Charlotte Hornets,Kansas,Devonte' Graham
Washington Wizards,Notre Dame,Jerian Grant
New Orleans Pelicans,LSU,Josh Gray
New York Knicks,Auburn,Jared Harper
Chicago Bulls,Tulsa,Shaquille Harrison
Milwaukee Bucks,IUPUI,George Hill
Indiana Pacers,UCLA,Aaron Holiday
Brooklyn Nets,Duke,Kyrie Irving
New Orleans Pelicans,Duke,Frank Jackson
LA Clippers,Boston College,Reggie Jackson
Memphis Grizzlies,Duke,Tyus Jones
Sacramento Kings,Texas,Cory Joseph
Detroit Pistons,Kentucky,Brandon Knight
Chicago Bulls,UCLA,Zach LaVine
Phoenix Suns,,Jalen Lecque
Portland Trail Blazers,Weber State,Damian Lillard
Toronto Raptors,Villanova,Kyle Lowry
Brooklyn Nets,Memphis,Jeremiah Martin
Milwaukee Bucks,Kansas,Frank Mason III 
Indiana Pacers,Arizona,T.J. McConnell
Minnesota Timberwolves,USC,Jordan McLaughlin
San Antonio Spurs,Saint Mary's,Patty Mills
Memphis Grizzlies,Murray State,Ja Morant
Denver Nuggets,Iowa State,Monte Morris
Utah Jazz,,Emmanuel Mudiay
Golden State Warriors,Kentucky,Mychal Mulder
San Antonio Spurs,Washington,Dejounte Murray
Denver Nuggets,Kentucky,Jamal Murray
Washington Wizards,Connecticut,Shabazz Napier
Philadelphia 76ers,,Raul Neto
New York Knicks,,Frank Ntilikina
Oklahoma City Thunder,Wake Forest,Chris Paul
Phoenix Suns,Murray State,Cameron Payne
New York Knicks,Louisiana-Lafayette,Elfrid Payton
Washington Wizards,Oregon State, Gary Payton II
Houston Rockets,Duke,Austin Rivers
Los Angeles Lakers,Kentucky,Rajon Rondo
Detroit Pistons,Memphis,Derrick Rose
Charlotte Hornets,Louisville,Terry Rozier
Phoenix Suns,,Ricky Rubio
Oklahoma City Thunder,,Dennis Schroder
Cleveland Cavaliers,Alabama,Collin Sexton
Philadelphia 76ers,LSU,Ben Simmons
Charlotte Hornets,Arizona,Kobi Simmons
Boston Celtics,Oklahoma State,Marcus Smart
Washington Wizards,Wake Forest,Ish Smith
New York Knicks,North Carolina State, Dennis Smith Jr.
Indiana Pacers,Xavier,Edmond Sumner
Atlanta Hawks,Wake Forest,Jeff Teague
Miami Heat,UC Santa Barbara,Gabe Vincent
Boston Celtics,Connecticut,Kemba Walker
Washington Wizards,Kentucky,John Wall
Boston Celtics,Pittsburgh,Brad Wanamaker
Boston Celtics,LSU,Tremont Waters
Houston Rockets,UCLA,Russell Westbrook
Chicago Bulls,North Carolina,Coby White
San Antonio Spurs,Colorado,Derrick White
Utah Jazz,Gonzaga,Nigel Williams-Goss
Dallas Mavericks,Utah,Delon Wright
Utah Jazz,Hofstra,Justin Wright-Foreman
Atlanta Hawks,Oklahoma,Trae Young
